FoodCode.2014,Food.Description.2014,FoodCode.2016,Food.Description.2016
41430000,Protein_powder_NFS,95230030,Protein_powder_NFS
41430010,Protein_supplement_powdered,95230030,Protein_powder_NFS
41435500,Clif_Bar,53720200,Clif_Bar
41440010,Meal_replacement_or_supplement_liquid_soy_base_high_protein,95120010,Nutritional_drink_or_meal_replacement_high_protein_ready_to_drink_NFS
53540300,Fiber_One_Chewy_Bar,53710400,Fiber_One_Chewy_Bar
53540802,Kashi_TLC_Chewy_Granola_Bar,53710802,Kashi_TLC_Chewy_Granola_Bar
53540806,Kashi_TLC_Crunchy_Granola_Bar,53710806,Kashi_TLC_Crunchy_Granola_Bar
53544230,Granola_bar_oats_nuts_coated_with_non_chocolate_coating,53714230,Granola_bar_oats_nuts_coated_with_non_chocolate_coating
53544250,Granola_bar_coated_with_non_chocolate_coating,53714250,Granola_bar_coated_with_non_chocolate_coating
53544450,PowerBar_fortified_high_energy_bar,53720300,PowerBar
56204990,Rice_white_cooked_regular_NS_as_to_fat_added_in_cooking,56205330,Rice_white_and_wild_cooked_NS_as_to_fat_added_in_cooking
56205010,Rice_white_cooked_regular_fat_not_added_in_cooking,56205300,Rice_white_and_wild_cooked_fat_not_added_in_cooking
56205110,Rice_brown_cooked_regular_fat_not_added_in_cooking,56205310,Rice_brown_and_wild_cooked_fat_not_added_in_cooking
56205420,Rice_white_cooked_regular_fat_added_in_cooking,56205320,Rice_white_and_wild_cooked_fat_added_in_cooking
56205510,Rice_brown_cooked_regular_fat_added_in_cooking,56205340,Rice_brown_and_wild_cooked_fat_added_in_cooking
56205530,Rice_brown_cooked_instant_NS_as_to_fat_added_in_cooking,56205350,Rice_brown_and_wild_cooked_NS_as_to_fat_added_in_cooking
58100210,Burrito_with_chicken_and_beans,58100220,Burrito_with_chicken_and_beans
58100310,Burrito_with_beans_meatless,58100320,Burrito_with_beans_meatless
58161300,White_rice_with_tomato_sauce,58160520,Rice_white_with_tomatoes_andor_tomato_based_sauce_NS_as_to_fat_added_in_cooking
58161310,Rice_brown_with_tomato_sauce,58161460,Rice_brown_with_tomatoes_andor_tomato_based_sauce_NS_as_to_fat_added_in_cooking
71201010,White_potato_chips,71201015,White_potato_chips_regular_cut
83205000,Italian_dressing_low_calorie,83205450,Italian_dressing_light
83205500,Italian_dressing_reduced_calorie_fat_free,83300600,Italian_dressing_fat_free
92560100,Gatorade_Thirst_Quencher_sports_drink,95320200,Gatorade_Thirst_Quencher_sports_drink
92650200,Monster_Energy_Drink,95310400,Monster_Energy_Drink
41430310,Protein_diet_powder_with_soy_and_casein,95230030.1,Protein_powder_NFS
41435110,High_protein_bar_candy_like_soy_and_milk_base,53729000.1,Nutrition_bar_or_meal_replacement_bar_NFS